F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Number of Defects
7,3,3,11,3,2,82,10,3,0,11,3
6,4,4,1,4,3,75,10,3,0,11,2
7,3,5,5,4,3,29,10,3,1,13,2
7,2,3,1,5,3,64,10,3,1,11,3
7,3,3,1,2,3,89,10,3,0,11,2
8,3,4,12,3,3,46,10,3,0,12,4
10,2,5,5,3,3,18,10,3,1,10,4
10,2,5,5,3,3,18,10,3,1,10,4
6,2,4,1,3,3,21,10,3,0,11,3
8,4,3,5,4,3,127,10,3,1,12,3
5,6,3,1,3,3,60,10,3,0,13,4
10,4,5,11,4,4,83,10,3,0,10,2
8,5,4,1,4,4,100,10,3,0,11,2
8,3,3,1,3,4,55,10,3,0,11,2
7,2,3,1,2,4,28,10,3,0,12,4
7,2,3,1,2,4,28,10,3,0,12,4
8,3,3,1,5,4,119,10,3,0,12,4
8,3,3,1,5,4,119,10,3,0,12,4
6,2,3,2,4,4,117,10,3,0,12,3
7,3,3,11,4,4,28,10,3,0,13,4
5,7,1,1,1,4,10,10,3,0,14,2
7,3,4,2,5,4,65,10,3,0,11,3
10,4,5,10,3,5,110,10,3,0,10,3
6,2,4,4,3,5,109,10,4,0,12,1
7,4,4,5,2,5,19,10,3,0,13,1
10,2,5,1,4,5,33,10,3,0,10,1
7,3,5,2,3,5,61,10,3,0,10,3
7,3,5,2,3,5,61,10,3,0,10,3
7,5,2,1,5,5,26,10,3,0,10,2
8,3,5,2,7,5,55,10,3,0,10,3
7,5,2,1,5,5,126,10,3,0,10,4
7,2,4,2,5,5,133,10,3,1,11,4
6,4,3,1,5,5,110,10,3,1,9,2
6,3,4,2,18,5,60,10,3,1,10,3
7,3,3,6,5,5,129,10,3,0,9,3
7,3,3,6,5,5,129,10,3,0,9,3
6,3,2,3,4,5,85,10,3,0,12,2
8,5,4,1,3,5,57,10,3,1,10,1
8,4,3,3,4,5,24,10,3,0,12,4
6,2,3,1,3,5,28,10,3,0,11,3
9,2,3,1,4,5,25,10,3,0,11,2
8,3,2,4,3,5,34,10,3,0,12,2
7,2,2,1,4,5,124,10,3,0,11,2
5,7,1,1,2,5,9,10,3,0,14,3
7,4,5,1,14,5,69,10,3,1,10,2
6,2,3,2,4,5,47,10,3,0,10,2
6,4,2,2,2,5,56,10,3,1,13,5
6,4,4,1,4,6,72,10,3,0,11,3
7,4,3,12,5,6,37,10,3,0,12,4
7,3,5,15,6,6,148,10,3,0,9,3
6,3,3,1,5,6,29,10,3,1,10,3
8,3,4,7,4,6,117,10,3,0,11,3
8,2,4,2,4,6,114,10,3,1,13,4
7,3,4,2,5,6,134,10,3,1,11,4
8,2,5,1,5,6,48,10,3,0,11,3
7,6,2,1,4,6,62,10,3,0,10,3
9,1,5,1,3,6,24,10,3,0,10,3
9,1,5,1,3,6,24,10,3,0,10,3
7,3,2,2,5,6,121,10,3,1,11,3
7,3,2,4,5,6,114,10,3,0,9,2
8,3,4,2,3,6,106,10,3,0,10,2
6,2,4,2,3,6,61,10,3,0,12,2
7,3,3,5,5,6,88,10,3,0,11,2
7,3,4,1,2,6,55,10,3,0,13,3
7,5,4,6,3,6,76,10,3,1,13,6
7,3,5,1,2,6,80,10,3,1,13,4
7,3,3,15,4,6,79,10,3,0,13,3
7,3,3,15,5,6,41,10,3,0,11,4
7,3,3,15,5,6,41,10,3,0,11,4
